<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tameshk ETF,20230101, 10000.00, 10000.00, 10000.00, 10000.00,439297240000.00, 43929724,3791,D,10000.00,10000.00
Tameshk ETF,20221231, 10000.00, 10000.00, 10000.00, 10000.00,317501010000.00, 31750101,2672,D,10000.00,10000.00
Tameshk ETF,20221228, 10000.00, 10000.00, 10000.00, 10000.00,337533000000.00, 33753300,3339,D,10000.00,10000.00
Tameshk ETF,20221226, 10000.00, 10000.00, 10000.00, 10000.00,204352940000.00, 20435294,2718,D,10000.00,10000.00
Tameshk ETF,20221225, 10000.00, 10000.00, 10000.00, 10000.00,149943760000.00, 14994376,2499,D,10000.00,10000.00
Tameshk ETF,20221224, 10000.00, 10000.00, 10000.00, 10000.00,356372550000.00, 35637255,3728,D,10000.00,10000.00
Tameshk ETF,20221221, 10000.00, 10000.00, 10000.00, 10000.00,156752160000.00, 15675216,2289,D,10000.00,10000.00
Tameshk ETF,20221220, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20221219, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20221218, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
Tameshk ETF,20221217, 0.00, 0.00, 0.00, 10000.00,0.00, 0,0,D,10000.00,10000.00
